hatchery,date,historic_flow,future_flow,flow_change_factor,pct_flow_change
Alsea Hatchery,1919-05-01,361767.66045799525,355651.7516773949,6115.908780600352,1.69
Alsea Hatchery,1920-05-01,335441.3385370416,333781.9098659489,1659.4286710927263,0.49
Alsea Hatchery,1921-05-01,413856.6642812996,401203.43767275894,12653.226608540688,3.06
Alsea Hatchery,1922-05-01,350811.07530614507,340235.2756237479,10575.799682397163,3.01
Alsea Hatchery,1923-05-01,239047.18861439775,229014.1009582526,10033.087656145159,4.2
Alsea Hatchery,1924-05-01,145083.4909050295,143159.01436302517,1924.476542004326,1.33
Alsea Hatchery,1925-05-01,278491.5363552715,272867.4851562539,5624.0511990176165,2.02
Alsea Hatchery,1926-05-01,192040.5599571498,177767.46789343725,14273.092063712538,7.43
Alsea Hatchery,1927-05-01,259383.38900634457,249352.25531438141,10031.133691963158,3.87
Alsea Hatchery,1928-05-01,501330.85067610495,501897.63405708026,-566.7833809753065,-0.11
Alsea Hatchery,1929-05-01,313202.36942968745,309296.9088719736,3905.460557713872,1.25
Alsea Hatchery,1930-05-01,189830.59472373186,183405.47926385718,6425.11545987468,3.38
Alsea Hatchery,1931-05-01,315293.2366843899,319200.7566835505,-3907.519999160606,-1.24
Alsea Hatchery,1932-05-01,375306.70486047206,370274.4879567995,5032.216903672554,1.34
Alsea Hatchery,1933-05-01,375260.1908065245,353774.5834564177,21485.60735010676,5.73
Alsea Hatchery,1934-05-01,249453.22846378965,243084.48299640673,6368.74546738292,2.55
Alsea Hatchery,1935-05-01,278142.3820163338,275450.7650436807,2691.616972653137,0.97
Alsea Hatchery,1936-05-01,290613.61939344043,270819.5918510748,19794.027542365657,6.81
Alsea Hatchery,1937-05-01,565064.7697335032,552061.615765255,13003.153968248283,2.3
Alsea Hatchery,1938-05-01,385331.90060883184,380865.8008890493,4466.0997197825345,1.16
Alsea Hatchery,1939-05-01,139630.4892765701,137296.8628670421,2333.626409527991,1.67
Alsea Hatchery,1940-05-01,369484.1341569943,359968.2499491747,9515.884207819588,2.58
Alsea Hatchery,1941-05-01,234032.80647060522,218254.68401237854,15778.122458226688,6.74
Alsea Hatchery,1942-05-01,250050.1605235872,239534.26716715653,10515.893356430664,4.21
Alsea Hatchery,1943-05-01,355285.47421262495,354536.1927139972,749.2814986277372,0.21
Alsea Hatchery,1944-05-01,296523.71533953084,291903.98915382265,4619.72618570819,1.56
Alsea Hatchery,1945-05-01,435895.8523799264,418071.6444768699,17824.207903056522,4.09
Alsea Hatchery,1946-05-01,218882.7174373371,218379.3276321472,503.38980518988683,0.23
Alsea Hatchery,1947-05-01,225699.78641045679,225965.39746831384,-265.6110578570515,-0.12
Alsea Hatchery,1948-05-01,507514.3472956669,488993.04516332754,18521.30213233939,3.65
Alsea Hatchery,1949-05-01,280823.4623722326,259451.21787136982,21372.244500862755,7.61
Alsea Hatchery,1950-05-01,366720.6249812443,344154.34833075857,22566.276650485757,6.15
Alsea Hatchery,1951-05-01,206615.82248195042,189114.4564156259,17501.366066324525,8.47
Alsea Hatchery,1952-05-01,193001.39537732844,187529.20171051423,5472.193666814215,2.84
Alsea Hatchery,1953-05-01,323076.80118998524,314319.4722946399,8757.32889534533,2.71
Alsea Hatchery,1954-05-01,265047.84916525776,263152.5775897027,1895.271575555089,0.72
Alsea Hatchery,1955-05-01,511001.7774710155,508545.8475850785,2455.9298859370174,0.48
Alsea Hatchery,1956-05-01,250630.98426660066,245721.83060297385,4909.153663626814,1.96
Alsea Hatchery,1957-05-01,358282.03793500393,347455.1114524279,10826.926482576004,3.02
Alsea Hatchery,1958-05-01,401886.6122941561,400480.9300312543,1405.6822629017988,0.35
Alsea Hatchery,1959-05-01,327766.2680653981,316379.5169444996,11386.751120898465,3.47
Alsea Hatchery,1960-05-01,515997.8512372609,496375.4763348407,19622.37490242021,3.8
Alsea Hatchery,1961-05-01,486064.782885152,468920.35481719207,17144.428067959903,3.53
Alsea Hatchery,1962-05-01,424616.9387007177,411690.3285742449,12926.610126472777,3.04
Alsea Hatchery,1963-05-01,605388.7869654745,585539.4796550774,19849.30731039704,3.28
Alsea Hatchery,1964-05-01,257184.13585462738,252572.97654635747,4611.159308269911,1.79
Alsea Hatchery,1965-05-01,219302.5828057748,211268.45048854745,8034.1323172273405,3.66
Alsea Hatchery,1966-05-01,220562.2886797809,218814.69324440957,1747.5954353713314,0.79
Alsea Hatchery,1967-05-01,345062.17861036776,341810.22310339136,3251.955506976403,0.94
Alsea Hatchery,1968-05-01,291131.3529915657,284502.2639532827,6629.08903828304,2.28
Alsea Hatchery,1969-05-01,265708.1742140945,241895.2899558733,23812.884258221224,8.96
Alsea Hatchery,1970-05-01,330383.0402780611,319886.3713648138,10496.668913247297,3.18
Alsea Hatchery,1971-05-01,418795.64398754755,414439.76596559875,4355.878021948796,1.04
Alsea Hatchery,1972-05-01,417743.5327056797,410602.24008647434,7141.292619205371,1.71
Alsea Hatchery,1973-05-01,205712.0161150179,201928.06745719575,3783.948657822155,1.84
Alsea Hatchery,1974-05-01,391854.7343610385,388064.8660015987,3789.8683594397735,0.97
Alsea Hatchery,1975-05-01,438880.0567512404,424597.31048750057,14282.746263739828,3.25
Alsea Hatchery,1976-05-01,314344.25581125985,312429.9566609509,1914.2991503089434,0.61
Alsea Hatchery,1977-05-01,242841.75671190952,225077.23703654393,17764.51967536559,7.32
Alsea Hatchery,1978-05-01,440918.9962208126,421686.8960655813,19232.10015523131,4.36
Alsea Hatchery,1979-05-01,404122.83219043363,385293.48419854377,18829.347991889867,4.66
Alsea Hatchery,1980-05-01,292074.83584162727,288244.2490665461,3830.586775081174,1.31
Alsea Hatchery,1981-05-01,346107.6575146404,336429.56433237373,9678.09318226669,2.8
Alsea Hatchery,1982-05-01,373104.9115364933,371719.4847457836,1385.4267907096655,0.37
Alsea Hatchery,1983-05-01,411836.608404543,402529.0859111844,9307.522493358643,2.26
Alsea Hatchery,1984-05-01,497628.12187677785,475303.2320648247,22324.889811953122,4.49
Alsea Hatchery,1985-05-01,260948.37439579968,259705.18152270786,1243.1928730918153,0.48
Alsea Hatchery,1986-05-01,371074.7389968161,354381.8522801837,16692.886716632405,4.5
Alsea Hatchery,1987-05-01,238319.29394698248,232793.79281685987,5525.501130122604,2.32
Alsea Hatchery,1988-05-01,459861.5942464415,435118.77579094766,24742.818455493834,5.38
Alsea Hatchery,1989-05-01,271785.2048491805,270732.03544566885,1053.1694035116234,0.39
Alsea Hatchery,1990-05-01,285985.9597173959,280646.58779670857,5339.371920687321,1.87
Alsea Hatchery,1991-05-01,409488.6784353699,393621.07385292934,15867.604582440574,3.87
Alsea Hatchery,1992-05-01,288557.63519735343,286718.33559022367,1839.2996071297675,0.64
Alsea Hatchery,1993-05-01,567178.6869432854,553026.93927124,14151.74767204537,2.5
Alsea Hatchery,1994-05-01,230431.070322464,227409.30114087457,3021.7691815894214,1.31
