hatchery,comid,month,historic_flow,future_flow,flow_change_factor,pct_flow_change
Rock Creek Hatchery,23894752,6,431392.90879814944,381150.7797077948,50242.12909035466,11.65
Rock Creek Hatchery,23894752,7,229697.25241397304,195713.7549373807,33983.49747659234,14.79
Rock Creek Hatchery,23894752,8,125551.87559139186,111183.49885896208,14368.37673242978,11.44
Rock Creek Hatchery,23894752,9,114366.93268155663,100636.91495594695,13730.01772560968,12.01
Rock Creek Hatchery,23894752,10,210034.41998847743,196686.00053537212,13348.419453105307,6.36
Rock Creek Hatchery,23894752,11,615117.569218005,654207.8640386098,-39090.29482060473,-6.35
Rock Creek Hatchery,23894752,12,1182718.200361087,1238289.8328933057,-55571.632532218704,-4.7
Bandon Hatchery,23914363,1,18006.741046778523,18386.148760907912,-379.4077141293892,-2.11
Bandon Hatchery,23914363,2,22603.039723955844,22932.890720556312,-329.8509966004676,-1.46
Bandon Hatchery,23914363,3,22638.64157012556,22714.632573199302,-75.99100307374101,-0.34
Bandon Hatchery,23914363,4,18932.132706238204,18927.432495081717,4.7002111564870575,0.02
Bandon Hatchery,23914363,5,11857.081201704443,11459.68458573945,397.39661596499354,3.35
Bandon Hatchery,23914363,6,7069.917483287352,6510.394860543086,559.5226227442663,7.91
Bandon Hatchery,23914363,7,4497.91942828723,4133.8218518757585,364.0975764114719,8.09
Bandon Hatchery,23914363,8,3122.4862832008016,2758.215151004803,364.2711321959987,11.67
Bandon Hatchery,23914363,9,2446.8959794072416,2030.6733632667092,416.2226161405324,17.01
Bandon Hatchery,23914363,10,3303.3548354213185,3022.286886373963,281.06794904735534,8.51
Bandon Hatchery,23914363,11,8040.667775938667,8443.29133186854,-402.6235559298739,-5.01
Bandon Hatchery,23914363,12,13014.76875868861,13420.311004994272,-405.54224630566205,-3.12
Bandon Hatchery,23914369,1,51041.70938347857,52373.840485229506,-1332.131101750936,-2.61
Bandon Hatchery,23914369,2,64299.49102988057,65551.65791300258,-1252.1668831220086,-1.95
Bandon Hatchery,23914369,3,64527.937819825194,64938.25084736704,-410.31302754184435,-0.64
Bandon Hatchery,23914369,4,54041.20599300073,54107.796651032026,-66.59065803129488,-0.12
Bandon Hatchery,23914369,5,34106.225587210574,33042.630212590026,1063.5953746205487,3.12
Bandon Hatchery,23914369,6,20642.052369721536,19094.46538272929,1547.5869869922462,7.5
Bandon Hatchery,23914369,7,13276.14150340212,12200.382651608381,1075.7588517937384,8.1
Bandon Hatchery,23914369,8,9134.413356100247,8060.66221336512,1073.7511427351274,11.76
Bandon Hatchery,23914369,9,7055.545132610515,5894.400701725342,1161.1444308851733,16.46
Bandon Hatchery,23914369,10,9321.899621393184,8557.508941779764,764.3906796134197,8.2
Bandon Hatchery,23914369,11,22525.201668422305,23643.1034405419,-1117.901772119596,-4.96
Bandon Hatchery,23914369,12,36739.53389232108,37970.53781478199,-1231.0039224609063,-3.35
Bandon Hatchery,23915599,1,17860.44931353661,18298.13225155094,-437.6829380143281,-2.45
Bandon Hatchery,23915599,2,22531.372648584198,22939.878612421126,-408.50596383692755,-1.81
Bandon Hatchery,23915599,3,22703.733385534695,22830.624607405007,-126.89122187031171,-0.56
Bandon Hatchery,23915599,4,19110.361268658427,19127.42294479824,-17.061676139812334,-0.09
Bandon Hatchery,23915599,5,12134.856167808917,11762.708604756528,372.14756305238916,3.07
